TANGGAL PEMBELIAN,NAMA SUPPLIER & PENYEDIA JASA,ITEM,QTY,HARGA,KETERANGAN
,Lydia Embroidery,Bordir Biasa,1 Titik,Rp  15.000,Harga Bervariasi Tergantung Kebutuhan Bordir
,Lydia Embroidery,Bordir 3D,1 Titik,Rp  30.000,Harga Bervariasi Tergantung Kebutuhan Bordir
,Dupak Bordir,Bordir Biasa,1 Titik,Rp  15.000,Harga Bervariasi Tergantung Kebutuhan Bordir
,Dupak Bordir,Bordir 3D,1 Titik,Rp  30.000,Harga Bervariasi Tergantung Kebutuhan Bordir
,Oviekids Embroidery,Bordir 3D,1 Titik,Rp  25.000,Harga Bervariasi Tergantung Kebutuhan Bordir
